Artistname,Nationality,birthYear,Titleofartwork,deathYear,Typeofartwork,Dimensions,Credit,Accessionid,ImageURL
Gaston Lachaise,American,1882,"""Acrobat"" Upside Down Figure, 1926",1935,Bronze,27 x 16.5 x 7 cm (10 5/8 x 6 1/2 x 2 3/4 in.),Bequest of Katharine Kuh,1994.548,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000004/50626_356716.jpg
Alexander Jackson Davis,American,1803,"""Belmead"" Center table, c. 1846",1892,Rosewood oak walnut marble,72.4 x 104.1 x 90.2 cm (28 1/2 x 41 x 35 1/2 in.),Gift of The Antiquarian Society,2000.340,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6676_357883.jpg
Mount Washington Glass Company,American,1837,"""Royal Flemish"" Vase, 1889/95",1958,"Partially gilded and painted blown mold glass
Height:",39.1 cm (15 3/8 in.),Through prior acquisitions of Rowena Marsh Abbott Kate L. Brewster Mr. and Mrs. Frederick Castle Emma B. Hodge Mrs. Potter Palmer II Edward Kendall Rogers Jerome and Irene Schultz and Mr. and Mrs. William Swartchild Jr.,2002.20,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7092_358786.jpg
Frederic Remington,American,1861,"9th U.S. Infantry Entering Peking, August 15, 1900, 1900",1909,Oil on canvas,68.9 x 102.2 cm (27 1/8 x 40 1/4 in.),George F. Harding Collection,1982.792,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4994_1490418.jpg
William Merritt Chase,American,1849,"A City Park, c. 1887",1916,Oil on canvas,34.6 x 49.9 cm (13 5/8 x 19 5/8 in.),"Signed lower right: ""Wm M. Chase.""

Bequest of Dr. John J. Ireland",1968.88,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/4114_1461057.jpg
Thomas Hicks,American,1823,"A Friendly Warning, 1881/90",1890,Oil on canvas,62.9 x 81.9 cm (24 3/4 x 32 1/4 in.),A.A. McKay Fund Income,1967.174,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/3993_623731.jpg
Ivan Albright,American,1897,"A Face from Georgia, 1970/74",1983,Oil on canvas,39.4 x 27.3 cm (15 1/2 x 10 3/4 in.),"Signed lower right: Ivan Albright
dated lower left: 1974

Gift of Ivan Albright",1977.25,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4530_623947.jpg
Rembrandt Peale,American,1778,"Abigail Inskeep Bradford, 1803/08",1860,Oil on canvas,68.6 x 55.9 cm (27 x 22 in.),Gift of Mrs. Herbert A. Vance,2000.339,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6675_357991.jpg
Daniel Chester French,American,1850,"Abraham Lincoln, modeled 1912, cast after 1912",1931,Bronze,95.2 cm (37 1/2 in.),"Inscribed top of base at left: ""Daniel C. French Sc./1912"" 
Foundry marks on back of base at right: ""Roman Bronze Works N.Y.""

Gift of Mrs. Philip D. Sang in memory of Philip D. Sang",1984.1130,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5100_763110.jpg
Daniel Chester French,American,1850,"Abraham Lincoln, modeled in plaster 1916, cast in bronze after 1916",1931,"Bronze
h.",83.8 cm (33 in.),"Inscribed top of base at back right: ""Daniel C French / March 1916""

Bequest of Arthur Rubloff Trust",1991.324,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/5810_1171464.jpg
George Inness,American,1825,"After a Summer Shower, 1894",1894,Oil on canvas,81.9 x 107.6 cm (32 1/4 x 42 3/8 in.),"Signed lower right: ""G. Inness 1894""

Edward B. Butler Collection",1911.29,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/56854_1171844.jpg
Mary Cassatt,American,1844,"After the Bullfight, 1873",1926,Oil on canvas,82.5 x 64 cm (32 1/8 x 25 3/16 in.),"Signed l. left: ""M.S.C./Seville/1873""

Bequest of Mrs. Sterling Morton",1969.332,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169442_1299313.jpg
Edward Henry Potthast,American,1857,"A Holiday, c. 1915",1927,Oil on canvas,76.4 x 101.8 cm (30 1/8 x 40 1/8 in.),"Signed lower left: E. Potthast

Friends of American Art Collection",1915.560,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171641_1321570.jpg
George Inness,American,1825,"A Marine, c. 1874/75",1894,Oil on canvas,76.8 x 114.9 cm (30 1/4 x 45 1/4 in.),"Signed lower left: ""G. Inness""

Edward B. Butler Collection",1913.90,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/405_1168614.jpg
Frederic Remington,American,1861,"A Mexican Vaquero, 1890",1909,Oil on canvas,82.6 x 58.4 cm (32 1/2 x 23 in.),"Signed lower right: ""Copyright 1890 / By/ Frederic Remington""

George F. Harding Collection",1982.799,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/5000_1173914.jpg
Eastman Johnson,American,1824,"A Sly Drink at the Camp (Study), 1860/73",1906,Oil on millboard,53.7 x 63.5 cm (21 1/8 x 25 in.),Gift of Emily Crane Chadbourne,1953.4,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/8608_625387.jpg
Horatio Greenough,American,1805,"Abdiel, 1838/1843",1852,"Marble
h.",61 cm (24 in.),Gift of Elizabeth G. H. Bartol,1894.562,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/238_761184.jpg
Ivan Albright,American,1897,"And Man Created God in His Own Image, 1930?1",1983,Oil on canvas,121.9 x 66 cm (48 x 26 in.),Gift of Ivan Albright,1977.36,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/4543_1356116.jpg
Designed by Harry Bertoia,American,1915,"Armchair, 1967",1978,White vinyl-covered steel mesh,77.4 x 85.8 x 71.1 cm (30 1/2 x 33 3/4 x 28 in.),Gift of Malcolm Kay Kim and Kyle Kamin,1986.38,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/26858_1301371.jpg
George Jakob Hunzinger,American,1835,"Armchair, patented in 1869",1898,Ebonized walnut with gilt decoration,139.7 x 61 x 66 cm (55 x 24 x 26 in.),"Stamped on the rear of the left front leg: ""HUNZINGER/N.Y./PAT. MARCH 30/1869

Perry and Gertrude Herst Endowment",1996.439,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6168_763164.jpg
William Merritt Chase,American,1849,"Alice, 1892",1916,Oil on canvas,171.8 x 125.4 cm (67 5/8 x 49 3/8 in.),Gift of Ernest A. Hamill,1893.107,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/205_355049.jpg
Hiram Powers,American,1805,"America, 1850?854",1873,"Marble
h.",73.7 cm (29 in.),The Art Institute of Chicago Purchase Fund,1910.30,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/358_761028.jpg
Grant Wood,American,1891,"American Gothic, 1930",1942,Oil on Beaver Board,78 x 65.3 cm (30 3/4 x 25 3/4 in.),"Signed and dated lower right on overalls: GRANT / WOOD / 1930

Friends of American Art Collection",1930.934,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/50629_1357815.jpg
Wallace L. DeWolf,American,1854,"Among the Redwoods, 1920",1930,Oil on canvas,76.8 x 64.8 cm (30 1/4 x 25 1/2 in.),Gift of Wallace L. DeWolf,1922.5520,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/984_727877.jpg
Augustus Saint-Gaudens,American,1848,"Amor Caritas, modeled 1897; cast after 1899",1907,Bronze,131.4 x 80.7 cm (51 3/4 x 31 3/4 in.),"Inscribed lower left: ""AVGVSTVS./SAINT-GAVDENS/MDCCCXCVII""

Plaque at top inscribed: ""Amor Caritas""

Roger McCormick Fund",1982.211,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4939_761376.jpg
Toshiko Takaezu,American,1922,"Anagama Vase, 1980/1989",2011,Anagama-fired stoneware,31.8 x 22.9 cm (12 1/2 x 9 in.),Gift of Toshiko Takaezu,2006.253,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55356_1181864.jpg
Frank Lloyd Wright,American,1867,"Armchair, 1908",1959,Oak,86.9 x 58.5 x 57.1 cm (34 1/4 x 23 x 22 1/2 in.),Gift of Mr. and Mrs. F. M. Fahrenwald,1970.435,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000107/83394_913100.jpg
David Wolcott Kendall,American,1851,"Armchair, 1894/96",1910,Green-stained oak with caned inserts,86 x 75 x 56 cm (33 7/8 x 29 1/2 x 22 in.),Gift of the Antiquarian Society through Morris and Jane Weeden,1995.101,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83396_382924.jpg
Attributed to Pottier and Stymus,American,1859,"Armchair, 1870/75",1888,Rosewood with ash juniper and burl maple veneer ormolu mounts original woven tapestry fabric,98 x 64 x 58 cm (38 1/2 x 25 1/4 x 22 3/4 in.),"Painted in black paint on crest rail underneath upholstery: ""3924. Ingersoll""

Suzanne Waller Worthy Fund",1970.39,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4204_1171314.jpg
George Peter Alexander Healy,American,1813,"Armenian Fathers, 1870",1894,Oil on canvas,138.4 x 102.9 cm (54 1/2 x 40 1/2 in.),Gift of G. P. A. Healy,1879.2,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/161_622735.jpg
James McNeill Whistler,American,1834,"Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy, 1894",1903,Oil on canvas,209.9 x 92.4 cm (82 5/8 x 36 3/8 in.),"Signed middle right: butterfly monogram

Arthur Jerome Eddy Memorial Collection",1931.501,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/1656_1482217.jpg
William Glackens,American,1870,"At Mouquin's, 1905",1938,Oil on canvas,122.4 x 92.1 cm (48 1/8 x 36 1/4 in.),"Signed lower left: ""W. Glackens""

Friends of American Art Collection",1925.295,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171646_1330130.jpg
Wilson H. Irvine,American,1869,"Autumn, c. 1914",1936,Oil on canvas,81.3 x 101.6 cm (32 x 40 in.),"Signed lower right: IRVINE

Friends of American Art Collection",1915.558,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000126/166599_1274753.jpg
Frederick W. Macmonnies,American,1863,"Bacchante with Infant Faun, modeled in 1894, cast after 1894",1937,"Bronze
h.","86.3 cm (34 in.)
Signed on base: ""F. MacMonnies 1894""

Foundry (stamped)",": ""Jaboeuf & Rouard / FONDEURS/A/PARIS/10 & 12/R DE L'ASILE POPINCOURT""

Restricted gift of Brooks and Hope B. McCormick Foundation",1984.571,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5181_763104.jpg
Childe Hassam,American,1859,"Bailey's Beach, Newport, R.I., 1901",1935,Oil on canvas,61 x 66 cm (24 x 26 in.),"Signed lower left: Childe Hassam 1901

On back: c.1901

Walter H. Schulze Memorial Collection",1936.243,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000125/166071_1270261.jpg
Fidelia Bridges,American,1835,"Bird's Nest and Ferns, 1863",1923,Oil on panel,"20 x 16.8 cm (7 7/8 x 6 5/8 in.)
Inscription: signed lower right: ""F. Bridges / 1863""
On back of frame: oval sticker: ""Pollock's / Picture Store / 10 Hamilton Place / Boston""; sticker fragment upper right: ""(?) by F. Bridges / Laura A. J (?)""; stock number on frame: ""44401""; inscription in pencil upsidedown on top: ""F. Beid???""; half artist's supply mark stencil in red: ""H. H(?) / Manuf (?) / Phila (?) / 10 (?)","""

Restricted gift of Charles C. Haffner III",1987.169,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/5423_1461097.jpg
Georgia O'Keeffe,American,1887,"Black Cross, New Mexico, 1929",1986,Oil on canvas,99.1 x 76.2 cm (39 x 30 in.),Art Institute Purchase Fund,1943.95,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/85157_1377609.jpg
Toshiko Takaezu,American,1922,"Black Hole, 2000",2011,Glazed stoneware,33 x 26.7 cm (13 x 10 1/2 in.),Gift of Toshiko Takaezu,2006.246,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55372_1182024.jpg
Georgia O'Keeffe,American,1887,"Ballet Skirt or Electric Light, 1927",1986,Oil on canvas,91.4 x 76.2 cm (36 x 30 in.),Alfred Stieglitz Collection bequest of Georgia O'Keeffe,1987.250.1,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137319_823006.jpg
Samuel Edwards,American,1705,"Baptismal Basin, 1755",1762,Silver,"7.5 x 30.1 cm (diam.) (2 15/16 x 12 1/16 in.)
Marked near the center on interior of bowl: ""S. E"" (under a crown and above a device in shaped shield)","; engraved around rim of basin: ""The Bequest of Mr. John Willis to the Church of Christ in Medford 1755""

J. Peter McCormick Fund",1988.445,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83410_383101.jpg
William Sidney Mount,American,1807,"Bar-room Scene, 1835",1868,Oil on canvas,57.4 x 69.7 cm (22 5/8 x 27 7/16 in.),"Signed lower left: ""W. S. Mount/1835""

William Owen and Erna Sawyer Goodman Collection",1939.392,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/114831_1305517.jpg
Edward Lamson Henry,American,1841,"Barnyard in Pennsylvania, 1859/60",1919,Oil on composition board,20.3 x 34.3 cm (8 x 13 1/2 in.),Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection,1990.486,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5709_623653.jpg
Jasper Francis Cropsey,American,1823,"Blasted Tree, 1850",1900,Oil on canvas,43.2 x 35.6 cm (17 x 14 in.),Gift of Jamee J. and Marshall Field,1997.898,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000082/6335_683782.jpg
Georgia O'Keeffe,American,1887,"Blue and Green Music, 1919/21",1986,Oil on canvas,58.4 x 48.3 cm (23 x 18 in.),Alfred Stieglitz Collection gift of Georgia O'Keeffe,1969.835,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137305_822868.jpg
Arthur Wesley Dow,American,1857,"Boats at Rest, c. 1895",1922,Oil on canvas,66 x 91.4 cm (26 x 36 in.),"Signed lower left: ""Arthur W. Dow""

Through prior acquisition of the Charles H. and Mary F.S. Worcester Collection",1990.394,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000114/5697_1139164.jpg
