technique,provenance,title,imageUrl,dimensions,artist,accessionId,url
Cast bronze with patina,Gift of Florence Kricheff in loving memory of Alexander Kricheff,Bust of Frederick Douglass,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDouglass+bust%2Ejpg,"26"" H x 24"" W x 12.5"" D",Alexander Kricheff,2002.6,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alexander+Kricheff&whereclause=where+maker%3D%27Alexander+Kricheff%27+OR+cleanmaker%3D%27Alexander+Kricheff%27+OR+maker1%3D%27Alexander+Kricheff%27+OR+maker2%3D%27Alexander+Kricheff%27+OR+maker3%3D%27Alexander+Kricheff%27+OR+maker4%3D%27Alexander+Kricheff%27+OR+maker5%3D%27Alexander+Kricheff%27&current_record=1
Mixed media/cement fresco on wood,Gift of Gary and Tracy Mezzatesta,Bramble Dance,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FBrambleMan%2EJPG,"74"" H x 31.5"" W",Alison Saar,2005.11.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alison+Saar&whereclause=where+maker%3D%27Alison+Saar%27+OR+cleanmaker%3D%27Alison+Saar%27+OR+maker1%3D%27Alison+Saar%27+OR+maker2%3D%27Alison+Saar%27+OR+maker3%3D%27Alison+Saar%27+OR+maker4%3D%27Alison+Saar%27+OR+maker5%3D%27Alison+Saar%27&current_record=1
photograph,Gift of The Ella Fitzgerald Charitable Foundation,"Photographs of Performing Artists, 1973-1989 [Ella Fitzgerald]",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5CFringe%2Ejpg,"10"" H x 8"" W",Allen J. Winigrad,AF199710.29.26a,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Allen+J%2E+Winigrad&whereclause=where+maker%3D%27Allen+J%2E+Winigrad%27+OR+cleanmaker%3D%27Allen+J%2E+Winigrad%27+OR+maker1%3D%27Allen+J%2E+Winigrad%27+OR+maker2%3D%27Allen+J%2E+Winigrad%27+OR+maker3%3D%27Allen+J%2E+Winigrad%27+OR+maker4%3D%27Allen+J%2E+Winigrad%27+OR+maker5%3D%27Allen+J%2E+Winigrad%27&current_record=1
Oil on panel,Gift of Dr. and Mrs. Leon O. Banks,Still Life ( Mexico),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CALMA%2EJPG,"33 x 25""",Alma Woodsey Thomas,AF199912.40.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alma+Woodsey+Thomas&whereclause=where+maker%3D%27Alma+Woodsey+Thomas%27+OR+cleanmaker%3D%27Alma+Woodsey+Thomas%27+OR+maker1%3D%27Alma+Woodsey+Thomas%27+OR+maker2%3D%27Alma+Woodsey+Thomas%27+OR+maker3%3D%27Alma+Woodsey+Thomas%27+OR+maker4%3D%27Alma+Woodsey+Thomas%27+OR+maker5%3D%27Alma+Woodsey+Thomas%27&current_record=1
Oil on canvas,Gift of Frank and Ruth Drucker,Black Square,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FBlkSquare%2EJPG,"31.75 x 26.25""",Alonzo Joseph Davis,AF199512.26.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Alonzo+Joseph+Davis&whereclause=where+maker%3D%27Alonzo+Joseph+Davis%27+OR+cleanmaker%3D%27Alonzo+Joseph+Davis%27+OR+maker1%3D%27Alonzo+Joseph+Davis%27+OR+maker2%3D%27Alonzo+Joseph+Davis%27+OR+maker3%3D%27Alonzo+Joseph+Davis%27+OR+maker4%3D%27Alonzo+Joseph+Davis%27+OR+maker5%3D%27Alonzo+Joseph+Davis%27&current_record=2
Rotogravure on paper,"Gift of Christine Roberts, in memory of her Grandmother, Christina Palmer Schoene",99th Pursuit Squadron First Annual Banquet,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CAAPS%5FFirstAnnualBanquet%2Ejpg,"10"" H x 7.25"" W",American Anti-Predjudice Society,AF199311.76,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+American+Anti%2DPredjudice+Society&whereclause=where+maker%3D%27American+Anti%2DPredjudice+Society%27+OR+cleanmaker%3D%27American+Anti%2DPredjudice+Society%27+OR+maker1%3D%27American+Anti%2DPredjudice+Society%27+OR+maker2%3D%27American+Anti%2DPredjudice+Society%27+OR+maker3%3D%27American+Anti%2DPredjudice+Society%27+OR+maker4%3D%27American+Anti%2DPredjudice+Society%27+OR+maker5%3D%27American+Anti%2DPredjudice+Society%27&current_record=1
printed on paper,Gift of MacDonald and Charlotte Jean Jones,"""Jump For Joy""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CJump2%2Ejpg,"11.75"" H  x 8.75"" W","American Revue Theatre (Walter Jurmann, Chairman)",2000.1.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29&whereclause=where+maker%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+cleanmaker%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker1%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker2%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker3%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker4%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27+OR+maker5%3D%27American+Revue+Theatre+%28Walter+Jurmann%2C+Chairman%29%27&current_record=1
Copper Plate Engraving with Recent Hand Coloring,Gift of Edward T. Garcia,"Plan du Fort Anglois de Juida, ou Fort Williams",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CGarcia%5FFtWilliams%2Ejpg,"10"" H x 7.25"" W",Antoine-François Prevost,2005.6,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Antoine%2DFran%E7ois+Prevost&whereclause=where+maker%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+cleanmaker%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker1%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker2%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker3%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker4%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker5%3D%27Antoine%2DFran%E7ois+Prevost%27&current_record=1
lithograph,Bequest of Alfred C. Darby,untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTapies%5FAntoni%2Ejpg,"28¾"" x 34¾""",Antoni Tàpies,AFL19855.13.26,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Antoni+T%E0pies&whereclause=where+maker%3D%27Antoni+T%E0pies%27+OR+cleanmaker%3D%27Antoni+T%E0pies%27+OR+maker1%3D%27Antoni+T%E0pies%27+OR+maker2%3D%27Antoni+T%E0pies%27+OR+maker3%3D%27Antoni+T%E0pies%27+OR+maker4%3D%27Antoni+T%E0pies%27+OR+maker5%3D%27Antoni+T%E0pies%27&current_record=1
Photograph and Negative,Museum purchase,Claude Fiddler in his Studio,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFIDDLE%7E1%2EBMP,"19½ x 19½"", 8 x 10"" negative",Armando Solis,SPAF19985.5.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Armando+Solis&whereclause=where+maker%3D%27Armando+Solis%27+OR+cleanmaker%3D%27Armando+Solis%27+OR+maker1%3D%27Armando+Solis%27+OR+maker2%3D%27Armando+Solis%27+OR+maker3%3D%27Armando+Solis%27+OR+maker4%3D%27Armando+Solis%27+OR+maker5%3D%27Armando+Solis%27&current_record=1
