artist,title,year,description,image
Paul Cézanne,Boy Resting,1887,The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/935/600/450.JPG
Gustave Moreau,Salome Dancing Before Herod,1876,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/939/600/450.JPG
Camille Pissarro,"The Boulevard Montmartre, Mardi Gras",1897,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/940/600/450.JPG
Rembrandt van Rijn,Juno,1662,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/955/600/450.JPG
Paul Gauguin,Bonjour Monsieur Gauguin,1889,Oil on canvas on panel. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/938/600/450.JPG
John Singer Sargent,Dr. Pozzi at Home,1881,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/943/600/450.JPG
Vincent van Gogh,Hospital at Saint-Remy,1889,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/951/600/450.JPG
Henri Fantin-Latour,Portrait of Miss Edith Crowe,1874,Oil on canvas. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/936/600/450.JPG
Henri de Toulouse-Lautrec,"Touc, Seated on a Table",1879,Oil on panel. The Armand Hammer Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/950/600/450.JPG
John Baldessari,Person with Guitar (Red),2005,"Five-color screen print construction. Hammer Museum, Los Angeles. Purchased with funds provided by Brenda Potter and Michael Sandler.",http://hammer.ucla.edu/image/560/600/450.JPG
Nathan Mabry,Mosaic Mask (XXX),2007,"Colored pencil and Swarovski crystal on mylar. Hammer Museum, Los Angeles. Gift of Campari, USA.",http://hammer.ucla.edu/image/2143/600/450.JPG
Micha?l Borremans,The Skirt,2005,"Oil on cardboard. Hammer Museum, Los Angeles. Purchased with funds provided by the Buddy Taub Foundation, Dennis Roach, Director.",http://hammer.ucla.edu/image/959/450/450.JPG
Llyn Foulkes,The Crucifixion,1985,"Mixed media. 29 x 21 in. (73.7 x 53.3 cm). Hammer Museum, Los Angeles. Purchased with funds provided in part by Jean Stein. Photo by Robert Wedemeyer. Courtesy of the artist and Kent Gallery, New York.",http://hammer.ucla.edu/image/2132/600/450.JPG
Christopher Williams,"Supplement '96, Conversation with a Flight Attendant",1996,Video. Gift of Soo Jin Jeong-Painter and Patrick Painter.,http://hammer.ucla.edu/image/960/450/450.JPG
Nic Hess,Spindle Implosion (Automatic Crash Response),2009,"Tape. 6 1/2 x 20 1/2 x 7 in. (16.5 x 52.1 x 17.8 cm). Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/4281/600/450.JPG
Hirsch Perlman,"Operation Idiocracy, Roll 3, Frames 3/4",2007,"Chromogenic print. 56 x 63 in. (142.24 x 160 cm) framed. Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2133/600/450.JPG
Liz Craft,Hairy Guy (with flower basket),2005,"Bronze and oil paint. 41 x 44 x 30 in. (104.1 x 111.8 x 76.2 cm) Hammer Museum, Los Angeles. Gift of David and Tia Hoberman.",http://hammer.ucla.edu/image/2151/600/450.JPG
Richard Hawkins,disembodied zombie george green,1997,"Inkjet print. 47 x 36 in. (119.4 x 91.4 cm) Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2147/600/450.JPG
Andrea Bowers,Nonviolent Civil Disobedience Drawing (Elvira Arellano in Sanctuary at Adalberto United Methodist Church in Chicago as Protest Against Deportation),2007,"Colored pencil on paper. 30 x 22 1/4 in. (76.2 x 56.6 cm) Hammer Museum, Los Angeles. Purchase.",http://hammer.ucla.edu/image/2141/600/450.JPG
Dinh Q. Le,Untitled (Red),2007,"C-print and linen tape. Hammer Museum, Los Angeles. Purchased with funds provided by Larry and Susan Marx.",http://hammer.ucla.edu/image/2138/600/450.JPG
Whitney Bedford,Houdini (Upside Down),2007,"Ink and oil on unprimed paper. Hammer Museum, Los Angeles. Purchased with funds provided by Larry and Susan Marx.",http://hammer.ucla.edu/image/2136/450/450.JPG
Cameron Jamie,Purgation,2003,"12 3/4 x 10 in. (32.4 x 25.4 cm) Hammer Museum, Los Angeles. Purchased with funds provided by the Buddy Taub Foundation, Dennis Roach, Director.",http://hammer.ucla.edu/image/2145/600/450.JPG
Shahzia Sikander,Pathology of Suspension #4,2005,"Ink and gouache on prepared paper. Hammer Museum, Los Angeles. Gift of Rosette V. Delug.",http://hammer.ucla.edu/image/2149/450/450.JPG
Honoré Daumier,Le passe. Le present. L’avenir.,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/998/600/450.JPG
Honoré Daumier,Un Avocat Plaidant (The Pleading Lawyer),1845,"Watercolor, ink, gouache,  and charcoal. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.",http://hammer.ucla.edu/image/981/600/450.JPG
Honoré Daumier,Les Avocats (The Lawyers),1860,Oil on canvas. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/983/600/450.JPG
Honoré Daumier,Don Quixote et Sancho Panza (Don Quixote and Sancho Panza),1866,Oil on canvas. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/982/600/450.JPG
Honoré Daumier,"-Dites donc, papa Drouillet, avec c'te envergure l?, vous devez pas nager comme un Dauphin. -Oui mais vous, vous étes joliment taillé pour faire la planche. -Well say then, papa Drouillet, with that breadth, you shouldn't swim like a Dolphin. -Yes, but you, you are beautifully sized to be the gangblank.",1840,"Lithograph. Sheet: 10 1/4 x 13 1/2 in. (26 x 34.3 cm). The Armand Hammer Daumier and Contemporaries Collection, Gift of Dr. Armand Hammer. Hammer Museum, Los Angeles.",http://hammer.ucla.edu/image/5899/600/450.JPG
Honoré Daumier,"M.M. Victor Hugo et Emile Giradin cherchent á élever le prince Louis sur un Pavois, ?a n’est pas très solide! (Misters Victor Hugo and Emile Girardin trying to raise Prince Louis, it isn’t very solid!)",1848,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/984/600/450.JPG
Honoré Daumier,Ratapoil,1925,Bronze. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/985/600/450.JPG
Honoré Daumier,Masques de 1831,1832,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/986/600/450.JPG
Honoré Daumier,NE VOUS Y FROTTEZ PAS!!,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/987/600/450.JPG
Honoré Daumier,Deux Acteurs (Scène de Comédie) [Two Actors {Comedy Scene}],1870,Oil on panel. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/989/600/450.JPG
Honoré Daumier,"Un Héros de Juillet, Mai 1831(A hero of July, May 1831)",1831,Lithograph with hand coloring. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/990/600/450.JPG
Honoré Daumier,Magot de la Chine,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/991/600/450.JPG
Honoré Daumier,Le Ventre Législatif. Aspect des bancs ministériels de la chambre improstituée de 1834 (The Legislative Belly. View of the ministerial benches in the improstituted house of 1834.),1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/992/600/450.JPG
Honoré Daumier,L’amateur d’huitres. (The lover of Oysters),1836,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/993/600/450.JPG
Honoré Daumier,"Inconvénient des jupons á ressort en acier, quand ce ressort vient á se casser (The trouble of steel-reinforced petticoats when the spring breaks)",1857,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/994/600/450.JPG
Honoré Daumier,NADAR élevant la Photographie á la hauteur de l’Art. (NADAR elevating photography to the level of Art.),1862,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/995/600/450.JPG
Honoré Daumier,"LES BLANCHISSEURS Le bleu s’en va mais ce diable de rouge tient comme du sang (THE LAUNDERERS The blue is washing out, but this red stains like blood).",1832,Lithograph with hand coloring. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/997/600/450.JPG
Honoré Daumier,"RUE TRANSNONAIN, LE 15 AVRIL 1834",1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.,http://hammer.ucla.edu/image/999/600/450.JPG
Nadar,Honoré Daumier,1870,Photographic Print. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/988/600/450.JPG
Katsushika Hokusai,Kanagawa oki namiura (Fuji behind the waves off Kanagawa [The Great Wave]),1831,Full-color woodcut (nishiki-e). Collection UCLA Grunwald Center for the Graphic Arts. Purchased from the Frank Lloyd Wright Collection.,http://hammer.ucla.edu/image/971/600/450.JPG
Giorgio Ghisi,Allegory of Life,1561,Engraving. Collection UCLA Grunwald Center for the Graphic Arts. Purchase.,http://hammer.ucla.edu/image/966/600/450.JPG
Albrecht Dürer,St. Michael Fighting the Dragon,1511,"Woodcut. Collection UCLA Grunwald Center for the Graphic Arts. Purchased with funds provided by The Wolfen Family Acquisition Fund, Charlene and Sanford Kornblum, and Various Donors.",http://hammer.ucla.edu/image/972/600/450.JPG
Ernst Ludwig Kirchner,Stadtbahnbogen (Tramway Arch),1915,Color lithograph. Collection UCLA Grunwald Center for the Graphic Arts. Gift of Mr. Virgil Whirlaw.,http://hammer.ucla.edu/image/965/600/450.JPG
Edgar Degas,La Toilette (les bras)[The Toilette{arms}],1880,Monotype. Collection UCLA Grunwald Center for the Graphic Arts. Given through the UCLA Art Council by B. Gerald Cantor.,http://hammer.ucla.edu/image/967/600/450.JPG
Felix Vallotton,Le Bain,1894,Woodcut. Collection UCLA Grunwald Cetner for the Graphic Arts. Gift of Mrs. Fred Grunwald.,http://hammer.ucla.edu/image/969/600/450.JPG
Utagawa Hiroshige,"Shono hakuu (Light rain at Shono, number 46)",1832,Full-color woodcut. Collection UCLA Grunwald Center for the Graphic Arts. Purchased from the Frank Lloyd Wright Collection.,http://hammer.ucla.edu/image/973/600/450.JPG
Paul Cézanne,Les Grands Baigneurs (The Large Bathers),1896,Color lithograph. Collection UCLA Grunwald Center for the Graphic Arts. Gift of Mrs. Barbara Reis Poe.,http://hammer.ucla.edu/image/975/600/450.JPG
Rembrandt Harmensz van Rijn,Landscape with Three Gabled Cottages beside a Road,1650,Etching and drypoint. Collection UCLA Grunwald Center for the Graphic Arts. Rudolf L. Baumfeld Bequest.,http://hammer.ucla.edu/image/976/600/450.JPG
