artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine,accessionNumber
Truth Will Not Always Give You Art,Gayil Nalls,American,1953,0,1982,Oil on handmade paper,"H. 14, W. 17 inches (35.6 x 43.2 cm.)",Drawings,"Kathryn E. Hurd Fund, 1983",1984.43
Attic,Willem de Kooning,MetDoesntKnow,1904,1997,1949,"Oil, enamel, and newspaper transfer on canvas",61 7/8 x 81in. (157.2 x 205.7cm) 62 5/8 x 81 3/4 x 2 1/2 in. (159.1 x 207.6 x 6.4 cm) (Frame),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her son, Glenn David Steinberg, 1982",1982.16.3
Black Valhalla,Noah Jemison,American,1943,0,1976,Encaustic on canvas,"H. 52-1/8, W. 76-1/4 inches (132.4 x 193.4 cm.)",Paintings,"George A. Hearn Fund, 1977",1977.43
Mrs. Anstis Stone,William Verstille,MetDoesntKnow,1757,1803,1802,Watercolor on ivory in gold case,1 7/8 x 1 9/16 in. (4.8 x 4 cm),Paintings,"Dale T. Johnson Fund, 2006",2006.235.263
Coney Island,Joseph Stella,MetDoesntKnow,1877,1946,1914,Oil on canvas,Diameter: 41-3/4 inches (106 cm.),Paintings,"George A. Hearn Fund, 1963",63.69
Studio Interior,Stuart Davis,American,1892,1964,1917,Oil on canvas,18 7/8 x 23in. (47.9 x 58.4cm),Paintings,"George A. Hearn Fund, 1994",1994.412
Albert Gallatin,Gilbert Stuart,American,1755,1828,1803,Oil on canvas,29 3/8 x 24 7/8 in. (74.6 x 63.2 cm),Paintings,"Gift of Frederic W. Stevens, 1908",08.90
Untitled No. 8,Oliver Jackson,American,1935,0,1985,Oil and oil stick on canvas,"H. 108, W. 84 inches (274.3 x 213.4 cm.)",Paintings,"Gift of Mr. and Mrs. Gerald D. Kohs, 1988",1988.427
Head in Red,Lester Johnson,American,1919,2010,1964,Oil on canvas,"H. 8, W. 9-7/8 inches (20.3 x 25.1 cm.)",Paintings,"Gift of Stuart D. Buchalter, 1983",1983.577
George Washington,After Gilbert Stuart,American,1755,1828,1920,Watercolor on ivory,Sight: 3 5/16 x 2 1/2 in. (8.4 x 6.4 cm),Paintings,"Bequest of Mary Clark Thompson, 1924",24.80.534
Delaware Water Gap,George Inness,American,1825,1894,1861,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),Paintings,"Morris K. Jesup Fund, 1932",32.151
Landscape in Provence,Loren MacIver,American,1909,1998,1967,Oil on canvas,45 1/4 x 57 3/4in. (114.9 x 146.7cm) 47 1/2 x 60 x 1 3/4 in. (120.7 x 152.4 x 4.4 cm) (Frame),Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993",1993.322
Nicoll Havens Dering,Daniel Huntington,American,1816,1906,1871,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Sylvester Dering, 1916",16.68.5
