Artist_Name,Artwork_Name,Artwork_Year,Process,Dimensions,Provenance,Assension_Number,image
Vito Acconci,Under-History Lessons,1976,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",88.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px
Robert Arneson,Hear (Self-Portrait),1973,Ceramic,16 x 16 x 13 in. (40.6 x 40.6 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine",2006.40,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.40&dim=300px
Vito Acconci,3 Flags for 1 Space and 6 Regions,1979,"6 prints, aquatint and photoetching, edition 11/25",Each: 23 1/2 x 31 in. (59.7 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",81.1A-F,http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px
Richard Misrach,"Barracks, Wendover Air Force Base, Utah",1991,"Dye coupler photograph, edition 1/25",20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by William Chase and Tom Levine",98.6,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.6&dim=300px
Deborah Mesa-Pelly,Sleeper,2000,C-print mounted on aluminum,30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Steven Neu",2004.257,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.257&dim=300px
Vito Acconci,Adjustable Wall Bra,1990,"Rebar, plaster, canvas, steel cable, audio, and lights",288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery",91.8,http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px
Weiwei Ai,Beijing: Chang&#039;an Boulevard,2004,"Single channel video, color, sound
10 hours, 13 minutes","The Museum of Contemporary Art, Los Angeles
The East West Bank Collection, Purchased and Promised gift of East West Bank",2008.12,,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.12&dim=300px
Richard Misrach,Santa/Driver,1992,"Fuji dye-coupler print, edition 10/10",29 3/4 x 39 in. (75.6 x 99.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt",2003.122,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.122&dim=300px
Michael Mueller,Trinitatis,2008,Pencil on paper,44 1/2 x 36 1/2 in. (113 x 92.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chung King Project",2008.131,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.131&dim=300px
George McNeil,Pere Ubu and Friends,1982,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",92.60,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px
Matt Mullican,Untitled (Yellow and Black City),1985,Oil on canvas,72 x 192 in. (182.9 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Gerard Junior Foundation",85.101,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.101&dim=300px
Franz Ackermann,African Diamond,2006,Mixed media on paper on aludibond on wood,48 3/16 x 70 5/16 x 33 11/16 in. (122.4 x 178.6 x 85.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",2007.62,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.62&dim=300px
Matt Mullican,Untitled (Matt Mullican Under Hypnosis: Geneva),2004,"Video, DVD-R, PAL, edition2/16",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",2005.8,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.8&dim=300px
Marilyn Minter,Dilettette No. 3,1989,Acrylic on aluminum,30 x 24 in. (76.2 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",92.58,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.58&dim=300px
Victoria Morton,The Fountain in the Park,2001,Oil on canvas,Image: 16 x 14 in. (40.6 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle",2008.129,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px
Yoko Ono,Painting to Hammer a Nail In,1961,"Bronze with patina, edition 6/9",11 7/8 x 8 7/8 x 1 3/4 in. (30.2 x 22.5 x 4.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Audrey and Sydney Irmas Charitable Foundation",98.16,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.16&dim=300px
Dave Muller,Quick Picks (twenty-six),2004,Acrylic on paper,Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",2005.7A-F,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.7A-F&dim=300px
Marilyn Minter,Untitled (Sleep Drawing),1988,Blueprint on paper,168 1/2 x 30 1/2 in. (428 x 77.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",96.38,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.38&dim=300px
Cindy Sherman,Untitled Film Still #65,1980,Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory",95.56,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.56&dim=300px
Dave Muller,Re-Smith,1998,Acrylic on paper,60 x 40 in. (152.4 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",2002.18,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.18&dim=300px
