Artwork_Title,date,name,nationality,birth_date,death_date,dimensions_inch,medium,credit_line,object_no,description,image_url
"""Rebs"" in the Bullpen Brandy Station",1863,Alfred R. Waud,American,1828,1891,7 3/8 x 8 1/2,pen and black crayon heightened with white on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.107,,http://emuseum.huntington.org/internal/media/dispatcher/16263/resize:format$003dfull
(Coastal Scene),0,Charles Erskine Wood,American,1852,1944,6 1/8 x 9 3/8,pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens.",85.44.30,,http://emuseum.huntington.org/internal/media/dispatcher/16147/resize:format$003dfull
2 Oak Knoll Terrace,0,Hunt Lewis,American,0,0,14 x 20,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation",84.65,,http://emuseum.huntington.org/internal/media/dispatcher/17966/resize:format$003dfull
A Foraging Party in '76,0,Felix Octavius Carr Darley,American,1821,1888,14 1/4 x 18 1/8,black ink and graphite on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",90.28,,http://emuseum.huntington.org/internal/media/dispatcher/16212/resize:format$003dfull
A Good Horse,0,Edward Borein,American,1872,1945,8 3/8 x 11,India ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",2005.21.11,,http://emuseum.huntington.org/internal/media/dispatcher/26364/resize:format$003dfull
A Large Pine Tree near the Edge of a Lake,0,Joseph Basil Girard,American,1846,1918,5 3/8 x 7 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",89.3.112,,http://emuseum.huntington.org/internal/media/dispatcher/20167/resize:format$003dfull
A Single Yellow,0,Joe Price,American,1935,0,14 x 17,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints",S2011.1.13,,http://emuseum.huntington.org/internal/media/dispatcher/30374/resize:format$003dfull
"A Street in Los Angeles, Calif., Many Years Ago",0,E. A. Burbank,American,1858,1949,11 1/2 x 6 5/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",87.61.1,,http://emuseum.huntington.org/internal/media/dispatcher/22321/resize:format$003dfull
"A Tucson Street in 1895, October 22, 1901",1901,Joseph Basil Girard,American,1846,1918,4 9/16 x 6 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill",89.3.48,,http://emuseum.huntington.org/internal/media/dispatcher/20103/resize:format$003dfull
Abandoned Home,0,Rowena Fischer Meeks Abdy,American,1887,1945,,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Michael F. Williams",82.222,,http://emuseum.huntington.org/internal/media/dispatcher/16123/resize:format$003dfull
"Above Fort Stuart, Upper Missouri River",1859,Charles Ferdinand Wimar,American,1828,1862,10 x 15 1/4,charcoal heightened with white on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.104,,http://emuseum.huntington.org/internal/media/dispatcher/18101/resize:format$003dfull
Above the Mouth of Judith River,0,Charles Ferdinand Wimar,American,1828,1862,,charcoal and white chalk on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",91.35,,http://emuseum.huntington.org/internal/media/dispatcher/20468/resize:format$003dfull
Abstract Forms,1975,Fritz Rauh,American,0,0,10 x 21 1/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.1,,http://emuseum.huntington.org/internal/media/dispatcher/27871/resize:format$003dfull
Abstract Forms,1973,Fritz Rauh,American,0,0,10 1/8 x 21 1/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.2,,http://emuseum.huntington.org/internal/media/dispatcher/27872/resize:format$003dfull
Abstract Forms,1974,Fritz Rauh,American,0,0,10 x 21 1/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.3,,http://emuseum.huntington.org/internal/media/dispatcher/27873/resize:format$003dfull
Abstract Forms,1973,Fritz Rauh,American,0,0,10 1/4 x 21 1/4,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.4,,http://emuseum.huntington.org/internal/media/dispatcher/27874/resize:format$003dfull
Abstract Forms,1972,Fritz Rauh,American,0,0,17 5/8 x 23 1/2,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.5,,http://emuseum.huntington.org/internal/media/dispatcher/27875/resize:format$003dfull
Abstract Forms,1973,Fritz Rauh,American,0,0,24 1/2 x 19,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.6,,http://emuseum.huntington.org/internal/media/dispatcher/27876/resize:format$003dfull
Abstract Forms,1974,Fritz Rauh,American,0,0,18 7/8 x 23 7/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.7,,http://emuseum.huntington.org/internal/media/dispatcher/27877/resize:format$003dfull
Abstract Forms,1973,Fritz Rauh,American,0,0,19 1/2 x 25,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",2006.24.8,,http://emuseum.huntington.org/internal/media/dispatcher/27878/resize:format$003dfull
Abstract Forms,1984,Fritz Rauh,American,0,0,sheet: 14 x 16 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald C. Whitton",2007.1,,http://emuseum.huntington.org/internal/media/dispatcher/27550/resize:format$003dfull
Abstraction,1968,Fritz Rauh,American,0,0,sheet: 19 7/8 x 29 3/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Emory Johnson and Dana Dwyer Johnson",2007.31.1,,http://emuseum.huntington.org/internal/media/dispatcher/27879/resize:format$003dfull
