birthYear,image-URL,collection,type,url,title,nationality,when-acquired,dimensions,birthPlaceCity,artistName,credit,deathYear
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.274_03_b03.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114593,"L.S.P. 36, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.272_03_b03.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114591,"L.S.P. 37, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.269_01_b04.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114588,"L.S.P. 38, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.279_01_b04.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114598,"L.S.P. 39, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.266_03_b03.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114585,"L.S.P. 4, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.18_01_b02.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114306,"L.S.P. 40, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.270_03_b03.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114589,"L.S.P. 41, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.251_01_b02.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114570,"L.S.P. 42, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.211_01_b02.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114530,"L.S.P. 43, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.262_03_b03.jpg,SFMOMA,photograph,http://www.sfmoma.org/explore/collection/artwork/114581,"L.S.P. 44, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",0
